"firm","employee","sex","age","staging.date","months.enrolled","debt"
"100/BF894",46080,"Male",48,2017-04-01,19,0
"100/BF894",46081,"Male",58,2017-04-01,19,2634.56
"100/BF894",46082,"Male",45,2017-04-01,19,0
"100/BF894",46083,"Male",38,2017-04-01,19,2731.61
"100/BF894",46084,"Female",34,2017-04-01,19,1210.55
"100/BF894",46085,"Male",35,2017-04-01,19,944.06
"100/BP434",49668,"Female",37,2016-08-01,27,0
"100/BP434",49669,"Female",50,2016-08-01,27,558.25
"100/BP434",49670,"Female",40,2016-08-01,27,383.44
"100/BP434",49671,"Male",40,2016-08-01,27,1083.2
"100/EA443",67955,"Female",47,2016-10-01,25,0
"100/EA443",67956,"Male",48,2016-10-01,25,402.21
"100/EA443",67957,"Female",41,2016-10-01,25,0
"100/EA443",67958,"Female",49,2016-10-01,25,1732.43
"100/EA759",68688,"Male",39,2017-01-01,22,582.18
"100/EA759",68689,"Male",54,2017-01-01,22,4536.14
"100/EA759",68690,"Male",47,2017-01-01,22,2209.13
"100/EA759",68691,"Female",43,2017-01-01,22,0
"100/EA759",68692,"Female",55,2017-01-01,22,1765.34
"100/FN852",51810,"Female",48,2016-11-01,24,1969.85
"100/FN852",51811,"Female",22,2016-11-01,24,0
"100/FN852",51812,"Female",38,2016-11-01,24,2733.44
"100/FN852",51813,"Female",58,2016-11-01,24,1079.04
"100/FW274",20900,"Male",48,2017-02-01,21,0
"100/FW274",20901,"Male",51,2017-02-01,21,1334.42
"100/FW274",20902,"Female",35,2017-02-01,21,0
"100/FW274",20903,"Male",57,2017-02-01,21,787.25
"100/HD147",65953,"Female",43,2016-11-01,24,0
"100/HD147",65954,"Female",61,2016-11-01,24,1272.51
"100/HD147",65955,"Female",55,2016-11-01,24,2490.55
"100/KT879",67714,"Male",41,2017-02-01,21,6310.73
"100/KT879",67715,"Female",55,2017-02-01,21,0
"100/KT879",67716,"Male",50,2017-02-01,21,1675.31
"100/KT879",67717,"Male",51,2017-02-01,21,0
"100/KX365",74784,"Male",54,2017-01-01,22,1052.63
"100/KX365",74785,"Male",42,2017-01-01,22,2103.37
"100/KX365",74786,"Male",35,2017-01-01,22,686.31
"100/MU468",6981,"Male",43,2017-01-01,22,3442.08
"100/MU468",6982,"Male",52,2017-01-01,22,1151.87
"100/MU468",6983,"Male",40,2017-01-01,22,1198.77
"100/MU468",6984,"Female",61,2017-01-01,22,2608.34
"100/NB687",50347,"Male",45,2017-04-01,19,1712.89
"100/NB687",50348,"Male",43,2017-04-01,19,1113.69
"100/NB687",50349,"Male",37,2017-04-01,19,1966.31
"100/NB687",50350,"Male",31,2017-04-01,19,429.8
"100/NB687",50351,"Female",55,2017-04-01,19,376
"100/NZ463",31238,"Male",52,2017-01-01,22,0
"100/NZ463",31239,"Male",39,2017-01-01,22,0
"100/NZ463",31240,"Male",35,2017-01-01,22,0
"100/NZ463",31241,"Male",39,2017-01-01,22,0
"100/NZ463",31242,"Female",46,2017-01-01,22,1291.93
"100/NZ463",31243,"Female",39,2017-01-01,22,3436.47
"100/OV171",64870,"Male",62,2017-02-01,21,929.95
"100/OV171",64871,"Female",49,2017-02-01,21,1223.26
"100/OV171",64872,"Female",43,2017-02-01,21,827.62
"100/QT546",54949,"Male",30,2016-10-01,25,259.72
